#,Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,BB%,K%,ISO,BABIP,AVG,OBP,SLG,OPS,wOBA,wRC+,ADP,InterSD,InterSK,IntraSD
281,Manuel Margot,MIN,86,337,309,81,17,2,6,40,37,22,56,3,9,3,6.60%,16.50%,0.122,0.304,0.264,0.316,0.386,0.702,0.306,94,616.1,2.24,0.8,1.17
282,Isiah Kiner-Falefa,TOR,88,339,309,79,13,1,4,38,30,22,56,4,13,4,6.50%,16.50%,0.088,0.299,0.256,0.311,0.344,0.656,0.29,83,506.3,2.56,0.37,1.36
283,Dylan Moore,SEA,64,215,187,39,9,1,7,27,22,22,66,5,11,4,10.00%,30.70%,0.172,0.278,0.208,0.307,0.381,0.688,0.303,95,712.3,2.56,0.52,1.38
284,Jose Trevino,NYY,75,268,251,59,11,1,6,27,29,12,45,2,1,1,4.50%,16.80%,0.124,0.261,0.235,0.274,0.358,0.632,0.275,70,542.2,1.66,-0.94,1.03
285,Garrett Mitchell,MIL,93,381,340,82,15,2,9,47,37,33,116,4,13,3,8.60%,30.50%,0.136,0.334,0.24,0.312,0.376,0.688,0.302,87,392.4,4.8,0.33,0.97
286,Jorge Mateo,BAL,60,218,201,47,10,2,5,29,21,12,55,2,16,3,5.50%,25.20%,0.14,0.294,0.232,0.28,0.372,0.653,0.283,80,505.1,3.35,1.48,1.63
287,Colson Montgomery,CHW,52,214,186,44,8,1,5,24,21,22,50,4,1,0,10.20%,23.40%,0.132,0.291,0.234,0.325,0.366,0.691,0.305,91,999,1.09,-0.03,1.25
288,Ryan O'Hearn,BAL,101,380,351,91,17,1,15,45,53,22,90,3,3,1,5.90%,23.70%,0.182,0.307,0.259,0.308,0.441,0.749,0.32,105,406.9,3.33,-0.86,0.65
289,Sean Bouchard,COL,100,346,302,77,18,2,12,47,43,38,94,3,6,2,11.00%,27.00%,0.197,0.323,0.254,0.34,0.451,0.792,0.342,99,457.8,3.19,0.63,0.72
290,Elias Diaz,COL,116,447,411,105,21,1,13,46,55,30,96,2,1,0,6.70%,21.40%,0.152,0.3,0.255,0.307,0.407,0.714,0.309,77,254.8,3.26,-0.21,0.53
291,Luke Maile,CIN,61,200,179,41,9,0,5,20,22,16,52,3,1,1,8.10%,26.10%,0.138,0.293,0.229,0.304,0.367,0.671,0.296,78,722.1,1.26,-0.87,1.3
292,Ezequiel Duran,TEX,77,295,273,69,15,1,9,36,34,16,77,3,6,2,5.50%,26.10%,0.165,0.32,0.254,0.303,0.419,0.722,0.311,94,340.3,3.02,-0.04,1.06
293,Zach McKinstry,DET,89,347,311,73,15,3,7,40,31,29,78,3,9,3,8.30%,22.40%,0.14,0.29,0.236,0.306,0.376,0.682,0.299,88,436.7,1.82,-0.4,1
294,Miguel Rojas,LAD,67,258,237,60,12,1,4,29,24,15,32,3,5,2,5.90%,12.50%,0.105,0.276,0.252,0.303,0.357,0.66,0.289,80,733.1,3.64,-0.71,1.32
295,Austin Slater,SFG,71,241,212,54,10,1,6,31,24,25,66,3,6,2,10.20%,27.40%,0.145,0.337,0.253,0.338,0.398,0.736,0.324,104,749.2,1.69,-0.36,1.32
296,Victor Robles,WSN,95,353,311,75,16,2,5,40,29,25,77,10,15,4,6.90%,21.70%,0.113,0.299,0.24,0.313,0.352,0.666,0.295,82,555.2,5.49,-0.99,1.29
297,Andruw Monasterio,MIL,71,273,241,59,12,1,4,31,25,27,61,3,7,2,9.80%,22.40%,0.109,0.311,0.247,0.325,0.355,0.681,0.302,88,641,3.42,0.13,1.28
298,Tyler Black,MIL,67,248,214,51,11,2,5,31,25,28,57,4,11,3,11.30%,22.90%,0.147,0.301,0.24,0.337,0.388,0.725,0.32,99,999,3.4,0.32,1.38
299,Omar Narvaez,NYM,65,234,206,48,9,1,4,22,20,22,46,2,0,0,9.50%,19.70%,0.11,0.276,0.232,0.311,0.342,0.653,0.29,81,717.1,1.87,-0.31,1.25
300,Liover Peguero,PIT,105,408,378,92,17,2,10,45,42,24,107,2,13,3,5.90%,26.10%,0.138,0.312,0.244,0.291,0.381,0.673,0.292,79,402,1.42,-0.13,0.91
301,Jake McCarthy,ARI,63,236,212,55,10,3,3,30,21,18,48,4,17,3,7.60%,20.50%,0.121,0.32,0.258,0.325,0.379,0.704,0.31,93,460.6,6.75,-0.21,1.78
302,Akil Baddoo,DET,73,276,244,57,11,3,7,34,26,30,69,1,11,3,10.80%,25.00%,0.152,0.295,0.233,0.317,0.385,0.702,0.307,94,692.6,3.74,-0.28,1.23
303,Tyler Freeman,CLE,45,160,144,38,8,1,3,19,16,10,24,5,4,1,6.00%,15.20%,0.114,0.302,0.266,0.33,0.38,0.71,0.313,100,714.9,3,-0.74,1.69
304,Connor Joe,PIT,91,366,318,77,17,2,8,44,35,40,82,6,3,2,11.00%,22.30%,0.145,0.297,0.241,0.335,0.387,0.722,0.319,98,593.5,1.04,-1.11,0.71
305,James McCann,BAL,57,209,191,44,8,0,5,22,22,13,54,3,2,1,6.00%,25.70%,0.125,0.293,0.233,0.288,0.358,0.646,0.283,79,672,1.7,-0.6,1.29
306,Edmundo Sosa,PHI,62,219,202,50,10,2,5,26,24,8,52,6,4,1,3.80%,23.70%,0.144,0.305,0.247,0.296,0.391,0.688,0.299,85,744.9,3.06,0.53,1.31
307,Reese McGuire,BOS,71,247,226,56,12,1,2,23,20,14,57,2,2,1,5.60%,23.00%,0.095,0.315,0.246,0.294,0.34,0.634,0.279,68,725.2,1.19,1.17,1.36
308,Nick Allen,OAK,81,294,267,62,12,1,3,28,20,18,50,2,6,2,6.30%,17.10%,0.089,0.275,0.233,0.286,0.322,0.608,0.269,72,724.4,3.61,-0.4,1.27
309,Gary Sanchez,MIL,69,268,237,51,9,0,14,30,38,25,74,4,1,0,9.30%,27.40%,0.213,0.245,0.214,0.298,0.427,0.725,0.313,95,371.5,3.32,-0.07,0.82
310,Jakob Marsee,SDP,50,201,174,40,8,1,5,25,18,23,46,2,8,2,11.30%,22.80%,0.144,0.283,0.232,0.327,0.375,0.703,0.311,95,999,2.45,-1.3,1.45
311,Josh Smith,TEX,50,178,152,35,7,1,4,21,16,18,39,5,3,1,10.10%,22.10%,0.136,0.279,0.229,0.326,0.365,0.691,0.307,92,736.1,3.2,-0.17,1.43
312,Estevan Florial,CLE,72,278,247,55,12,1,8,33,29,26,91,2,11,3,9.50%,32.70%,0.152,0.317,0.224,0.302,0.375,0.678,0.296,89,566.2,1.49,1.16,1.16
313,Mauricio Dubon,HOU,86,332,309,80,15,1,7,41,34,16,49,2,5,2,4.90%,14.70%,0.121,0.287,0.26,0.3,0.381,0.681,0.295,87,486.3,2.15,1.48,1.03
314,Kyle Higashioka,SDP,62,215,198,43,9,0,8,21,27,13,56,1,0,0,5.90%,26.20%,0.166,0.261,0.219,0.267,0.385,0.652,0.281,74,575,2.95,-0.34,1.12
315,Brenton Doyle,COL,120,461,427,99,18,4,13,55,49,24,154,4,19,4,5.30%,33.50%,0.153,0.328,0.233,0.279,0.386,0.665,0.287,62,378.2,2.75,-0.51,0.97
316,Nicky Lopez,CHW,106,392,348,85,13,2,2,43,27,32,59,4,11,3,8.10%,15.00%,0.066,0.287,0.244,0.313,0.31,0.623,0.28,74,596.5,1.97,1.31,1.23
317,Taylor Walls,TBR,68,263,229,47,11,1,5,31,24,30,68,1,11,3,11.50%,25.80%,0.125,0.269,0.207,0.302,0.332,0.634,0.284,76,544.5,2.54,-0.48,1.25
318,Tyrone Taylor,NYM,81,299,276,64,14,2,11,37,38,16,70,5,7,2,5.30%,23.40%,0.184,0.271,0.233,0.286,0.417,0.703,0.302,89,590.7,3.25,-0.65,0.83
319,Adam Frazier,KCR,84,325,294,76,16,2,4,38,31,23,43,4,7,3,7.20%,13.40%,0.106,0.29,0.258,0.319,0.365,0.684,0.301,88,600.6,2.53,0.87,1.19
320,Enrique Hernandez,LAD,85,344,310,73,16,1,9,40,40,27,65,4,2,1,7.70%,19.00%,0.146,0.268,0.236,0.3,0.382,0.682,0.297,86,539.8,2.86,0.04,0.59
321,Edward Olivares,PIT,90,351,321,84,17,2,10,43,37,22,63,6,9,3,6.10%,18.00%,0.158,0.299,0.263,0.318,0.421,0.739,0.32,98,442.1,3.45,-0.9,1.05
322,Giancarlo Stanton,NYY,104,435,385,87,14,0,26,52,67,45,127,2,0,0,10.30%,29.30%,0.237,0.262,0.226,0.309,0.464,0.773,0.329,107,291.9,2.66,-0.51,0.95
323,Joey Gallo,WSN,102,391,330,62,11,1,21,47,50,56,151,4,2,1,14.30%,38.60%,0.228,0.257,0.187,0.31,0.416,0.726,0.316,97,507.8,2.55,-0.92,1.06
324,Jackson Merrill,SDP,96,395,365,93,19,2,8,45,43,23,64,2,8,2,5.80%,16.10%,0.128,0.286,0.254,0.3,0.381,0.681,0.296,85,999,5.23,-1.56,0.84
325,Brandon Crawford,STL,58,218,194,45,9,1,6,24,25,19,50,3,2,1,8.50%,23.00%,0.14,0.282,0.233,0.306,0.373,0.678,0.296,85,732.8,3.83,0.52,1.19
326,Kris Bryant,COL,115,489,434,115,25,1,17,63,55,45,100,7,2,1,9.20%,20.40%,0.176,0.307,0.265,0.342,0.441,0.783,0.34,98,272.8,3.17,-0.27,0.48
327,Adam Duvall,ATL,85,360,328,73,15,1,19,44,53,24,112,5,3,1,6.70%,30.90%,0.224,0.27,0.222,0.283,0.446,0.729,0.31,95,452.2,4.2,0.5,0.62
328,Michael Busch,CHC,95,371,327,77,17,1,12,44,44,35,102,5,2,1,9.30%,27.50%,0.172,0.302,0.236,0.317,0.408,0.725,0.316,98,363.2,3.73,0.25,0.47
329,Will Brennan,CLE,72,279,258,70,15,1,4,29,29,15,38,3,7,2,5.50%,13.50%,0.103,0.304,0.272,0.317,0.375,0.692,0.302,92,614.3,7.04,-0.11,1.5
330,Donovan Solano,,79,300,268,73,15,0,5,31,29,22,63,6,0,0,7.40%,21.10%,0.11,0.336,0.271,0.339,0.38,0.72,0.318,100,731.5,1.38,0.13,1.31
331,Kyle Manzardo,CLE,97,400,350,81,20,1,13,42,47,41,84,3,1,0,10.30%,21.00%,0.171,0.264,0.23,0.314,0.401,0.715,0.311,99,380.3,5.2,-0.7,0.43
332,Miguel Vargas,LAD,50,195,173,43,9,1,5,25,23,20,40,1,3,1,10.00%,20.30%,0.152,0.294,0.25,0.329,0.402,0.731,0.319,101,492.5,7.79,0.58,1.35
333,Jasson Dominguez,NYY,42,179,159,38,7,1,5,24,21,18,47,1,7,2,10.10%,26.40%,0.158,0.309,0.242,0.322,0.399,0.721,0.314,97,415.5,3.82,-0.11,1.46
334,Luis Matos,SFG,76,292,266,70,14,1,5,34,30,21,37,3,10,2,7.10%,12.80%,0.125,0.289,0.264,0.322,0.39,0.712,0.311,95,501,6.92,0.67,1.36
335,Lawrence Butler,OAK,86,327,299,69,14,1,10,34,34,23,86,2,7,2,7.00%,26.30%,0.155,0.289,0.232,0.288,0.387,0.675,0.292,88,603.6,2.16,-0.07,0.92
336,Paul DeJong,CHW,94,361,328,67,13,0,13,37,39,24,107,5,4,2,6.80%,29.80%,0.162,0.257,0.204,0.268,0.366,0.635,0.276,72,554.4,2.41,0.07,0.74
337,Alex Jackson,TBR,40,153,139,29,6,0,6,16,18,9,50,3,0,0,6.10%,32.90%,0.172,0.28,0.21,0.271,0.382,0.654,0.283,76,748.6,1.19,0.99,1.36
338,Dominic Canzone,SEA,79,295,272,66,15,1,10,35,36,19,58,2,3,1,6.30%,19.70%,0.168,0.275,0.244,0.297,0.413,0.71,0.306,97,663.5,5.68,0.28,0.9
339,Joey Wiemer,MIL,73,270,242,55,12,1,8,32,31,23,75,3,8,2,8.50%,27.80%,0.16,0.291,0.228,0.3,0.387,0.687,0.3,86,540.1,3.61,1.31,1.07
340,Jean Segura,CLE,42,162,149,39,6,1,3,19,15,11,25,2,4,1,6.50%,15.10%,0.112,0.295,0.262,0.318,0.374,0.692,0.304,90,747.3,3.39,-0.41,1.68
341,Heston Kjerstad,BAL,63,245,224,58,12,1,7,29,27,16,57,4,1,1,6.30%,23.30%,0.161,0.313,0.258,0.316,0.419,0.735,0.318,104,519.5,6.6,1.33,1.23
342,Rob Refsnyder,BOS,59,209,180,47,10,1,4,26,22,23,47,4,4,1,11.00%,22.60%,0.128,0.329,0.26,0.352,0.389,0.741,0.328,102,999,2.88,-0.06,1.44
343,Curtis Mead,TBR,52,213,191,49,12,0,5,24,24,17,43,3,2,1,8.10%,20.10%,0.149,0.303,0.257,0.326,0.406,0.732,0.319,100,505.5,6.58,0.69,1.38
344,Brian Anderson,SEA,38,154,136,30,6,0,4,17,16,14,43,3,1,0,9.30%,27.90%,0.133,0.294,0.223,0.309,0.356,0.666,0.296,90,750.2,4.94,0.42,1.44
345,Andrew Knizner,TEX,50,183,165,37,7,0,6,20,20,13,43,3,1,0,7.00%,23.70%,0.143,0.27,0.225,0.291,0.368,0.659,0.289,79,657.4,3.03,2.07,1.31
346,Oswald Peraza,NYY,51,202,184,43,8,1,5,24,20,14,47,3,7,2,6.90%,23.30%,0.124,0.289,0.234,0.299,0.358,0.657,0.29,81,623.5,5.16,-1.61,1.42
347,Matt Thaiss,LAA,52,184,161,35,6,0,5,19,19,20,48,2,1,0,10.70%,26.00%,0.135,0.271,0.216,0.307,0.35,0.657,0.291,81,683.3,1.41,1.6,1.3
348,Joshua Palacios,PIT,75,278,251,64,11,1,8,32,32,19,57,4,6,2,6.70%,20.60%,0.148,0.301,0.256,0.316,0.404,0.72,0.314,94,645.3,2.3,-0.23,1.19
349,Carlos Santana,MIN,115,486,423,97,19,1,15,55,58,57,85,2,3,1,11.80%,17.40%,0.152,0.251,0.229,0.321,0.381,0.702,0.309,97,417.9,4.3,0.4,0.33
350,Riley Adams,WSN,48,177,158,35,8,1,5,17,19,14,54,4,0,0,8.10%,30.40%,0.157,0.301,0.222,0.301,0.38,0.68,0.298,85,726.7,1.86,0.07,1.35
351,Rowdy Tellez,PIT,106,414,367,87,17,1,18,44,58,40,88,3,1,0,9.60%,21.40%,0.197,0.262,0.237,0.315,0.434,0.749,0.321,99,438.5,2.65,-0.1,0.58
352,Whit Merrifield,PHI,104,432,398,104,21,1,8,52,45,27,72,2,18,5,6.10%,16.70%,0.115,0.297,0.26,0.306,0.375,0.681,0.296,83,271.8,5.38,0.7,1.11
353,Kolten Wong,,45,164,147,35,7,0,3,20,16,12,31,3,3,1,7.50%,18.80%,0.118,0.282,0.24,0.31,0.358,0.667,0.295,88,999,5.98,0.21,1.5
354,Harold Ramirez,TBR,77,306,284,80,15,1,7,34,38,15,54,5,3,1,4.80%,17.50%,0.131,0.324,0.282,0.325,0.412,0.737,0.319,101,609.9,5.23,0.43,1.32
355,Ji Hwan Bae,PIT,69,265,238,60,12,2,2,34,22,22,59,2,14,4,8.20%,22.30%,0.096,0.324,0.252,0.319,0.348,0.667,0.296,82,521.2,2.62,1.88,1.59
356,Andrew McCutchen,PIT,108,459,393,95,19,1,13,54,50,59,99,4,8,2,12.80%,21.70%,0.149,0.289,0.242,0.343,0.391,0.734,0.324,101,574.8,1.4,-0.64,0.4
357,Xavier Edwards,MIA,33,119,107,29,5,0,1,14,10,9,16,1,5,1,7.90%,13.80%,0.082,0.314,0.274,0.335,0.357,0.692,0.307,90,633.9,3.96,0.81,1.91
358,Colton Cowser,BAL,69,261,225,53,11,0,6,32,26,29,77,4,4,1,11.10%,29.70%,0.125,0.326,0.234,0.329,0.359,0.689,0.307,96,487.2,3.02,1.03,1.05
359,Garrett Hampson,KCR,62,215,193,47,9,1,3,26,18,17,53,2,7,2,7.90%,24.80%,0.107,0.321,0.245,0.31,0.352,0.662,0.292,83,664.2,2.89,2.93,1.5
360,Kevin Smith,NYY,28,86,79,16,3,0,3,9,9,5,27,1,2,1,5.40%,31.50%,0.15,0.268,0.203,0.25,0.353,0.603,0.261,61,999,3.07,0.16,1.74
361,Lenyn Sosa,,64,241,226,55,11,0,8,24,26,11,55,1,1,1,4.40%,22.70%,0.154,0.286,0.243,0.279,0.397,0.676,0.29,81,747.8,2.56,-0.66,1.21
362,Dominic Fletcher,CHW,99,397,360,86,17,3,8,43,38,27,94,4,4,2,6.90%,23.70%,0.128,0.301,0.239,0.299,0.368,0.667,0.291,82,604.6,2.68,0.43,0.64
363,Elvis Andrus,,36,139,128,33,6,0,2,16,14,9,24,1,5,1,6.30%,17.20%,0.105,0.297,0.255,0.306,0.36,0.666,0.292,81,704.7,8.07,0.15,1.74
364,Jordan Diaz,,60,227,212,53,10,0,6,21,25,12,46,2,0,0,5.20%,20.10%,0.141,0.289,0.25,0.293,0.391,0.684,0.296,91,576.2,3.76,0.66,1.33
365,Aledmys Diaz,OAK,72,274,252,60,13,0,6,25,27,15,50,4,1,0,5.40%,18.40%,0.125,0.274,0.238,0.29,0.363,0.652,0.284,83,732.2,2.42,-0.08,1.11
366,Coby Mayo,BAL,27,109,96,23,5,0,4,12,13,11,29,1,1,0,9.90%,26.90%,0.168,0.302,0.238,0.322,0.406,0.728,0.318,104,999,2.68,0.3,1.69
367,Austin Barnes,LAD,51,186,164,35,6,0,4,20,17,17,40,2,2,1,9.20%,21.70%,0.108,0.259,0.214,0.295,0.322,0.617,0.276,72,742.8,2.11,0.14,1.32
368,Rougned Odor,,54,157,141,31,7,0,5,18,18,13,38,3,2,1,8.20%,23.90%,0.17,0.254,0.216,0.293,0.387,0.68,0.297,85,999,1.49,-1.95,1.37
369,Evan Longoria,,48,174,156,36,7,0,7,20,23,15,50,1,0,0,8.80%,28.80%,0.181,0.289,0.23,0.302,0.411,0.713,0.308,93,999,2.11,-0.15,1.3
370,Matt Shaw,CHC,32,100,92,24,4,0,2,12,10,4,19,1,5,1,4.40%,19.20%,0.137,0.296,0.257,0.295,0.394,0.689,0.295,84,999,3.15,0.5,1.89
371,Jonny DeLuca,TBR,58,204,184,43,9,1,7,24,24,15,43,3,4,1,7.40%,21.10%,0.174,0.264,0.232,0.297,0.406,0.703,0.303,90,600,3.23,0.32,1.28
372,Dairon Blanco,KCR,32,95,87,22,4,1,2,12,9,6,23,1,11,2,6.70%,24.50%,0.133,0.332,0.256,0.316,0.39,0.706,0.308,93,656.2,2.99,0.68,2.05
373,Michael Stefanic,LAA,31,106,94,25,4,0,1,11,9,9,13,2,1,1,8.90%,12.30%,0.076,0.302,0.267,0.344,0.343,0.687,0.309,93,999,4.51,1.01,1.88
374,Randal Grichuk,ARI,70,278,258,65,14,1,9,33,34,16,61,3,1,1,5.60%,21.80%,0.168,0.293,0.251,0.299,0.419,0.718,0.309,92,636.9,3.28,0.52,1
375,Brooks Lee,MIN,31,124,113,28,7,0,2,14,13,9,24,1,1,0,7.20%,19.20%,0.127,0.289,0.245,0.303,0.373,0.675,0.295,87,999,1.15,-0.21,1.68
376,Alexander Canario,CHC,35,130,119,27,6,0,5,15,17,10,41,1,2,0,7.40%,31.40%,0.182,0.299,0.227,0.287,0.409,0.696,0.3,88,738.4,6.16,0.79,1.53
377,Alex Call,WSN,42,156,136,31,7,0,5,17,15,17,30,2,3,1,11.00%,19.20%,0.154,0.257,0.226,0.318,0.38,0.699,0.308,91,749.5,4.47,0.27,1.52
378,Robbie Grossman,,70,281,239,54,12,1,7,33,29,36,68,3,3,1,12.70%,24.40%,0.143,0.286,0.228,0.331,0.371,0.702,0.312,96,749.7,4.87,-0.19,0.94
379,Nick Gonzales,PIT,49,195,174,40,10,2,4,21,19,16,56,3,2,1,8.30%,28.50%,0.144,0.315,0.232,0.307,0.376,0.683,0.299,84,749.5,4.39,0.79,1.35
380,Spencer Horwitz,TOR,26,93,82,21,5,0,2,10,10,10,19,1,1,0,11.20%,20.30%,0.129,0.31,0.255,0.343,0.384,0.727,0.322,105,747.8,6.14,2.48,1.82
381,Sam Haggerty,SEA,41,131,116,28,6,1,3,16,12,12,30,2,8,1,8.80%,22.50%,0.126,0.297,0.239,0.315,0.365,0.68,0.3,93,999,2.66,0.84,1.8
382,Enmanuel Valdez,BOS,42,151,137,34,7,1,5,18,19,12,36,1,3,1,8.10%,23.80%,0.172,0.297,0.246,0.311,0.418,0.729,0.315,93,662.3,4.76,2.67,1.53
383,Francisco Mejia,,33,117,110,26,6,0,3,12,13,5,27,2,0,0,4.10%,23.40%,0.149,0.284,0.236,0.278,0.385,0.663,0.286,78,744,4.24,1.41,1.64
384,Alec Burleson,STL,60,226,208,54,11,1,6,25,26,15,34,2,2,0,6.50%,15.20%,0.144,0.284,0.26,0.312,0.404,0.716,0.311,95,615.6,3.49,0.91,1.35
385,Mickey Moniak,LAA,94,378,353,84,17,3,15,44,45,17,122,4,6,2,4.50%,32.20%,0.189,0.316,0.237,0.278,0.426,0.703,0.299,86,410.7,5.57,-1.37,0.61
386,Adalberto Mondesi,BOS,45,190,177,39,8,2,5,26,18,10,59,1,14,3,5.00%,31.30%,0.146,0.303,0.222,0.265,0.368,0.633,0.273,70,662.9,3.1,-0.17,1.63
387,Pablo Reyes,BOS,39,136,122,31,6,0,2,16,13,11,24,1,4,1,8.00%,17.90%,0.117,0.293,0.252,0.315,0.369,0.684,0.3,83,747,2.91,3.14,1.71
388,Austin Meadows,,24,95,84,21,5,1,3,12,13,9,17,1,1,0,9.50%,17.60%,0.193,0.274,0.251,0.329,0.444,0.773,0.332,109,999,1.4,0.96,1.75
389,Braden Shewmake,CHW,45,144,133,30,6,1,3,15,14,8,32,1,4,1,5.70%,22.50%,0.135,0.265,0.222,0.271,0.357,0.628,0.273,69,745.2,1.97,-0.31,1.57
390,Austin Hedges,CLE,56,190,171,33,5,0,4,16,16,12,47,2,1,1,6.10%,24.80%,0.093,0.243,0.194,0.252,0.287,0.54,0.24,50,747.1,1.91,-0.06,1.28
391,Rodolfo Castro,PHI,28,99,90,20,4,0,4,11,11,8,28,1,1,1,8.00%,28.70%,0.169,0.276,0.219,0.286,0.388,0.673,0.292,81,999,3.28,-0.06,1.67
392,Oswaldo Cabrera,NYY,44,162,146,33,7,0,5,19,17,12,38,1,4,1,7.50%,23.70%,0.146,0.276,0.228,0.29,0.374,0.664,0.29,81,736.5,2.06,-0.13,1.48
393,Miguel Andujar,OAK,61,236,218,56,11,1,6,24,27,15,37,1,3,1,6.30%,15.70%,0.138,0.283,0.256,0.304,0.394,0.697,0.3,94,610.3,4.9,-0.51,1.34
394,Nick Senzel,WSN,96,368,334,79,15,1,9,43,36,28,75,3,7,3,7.50%,20.40%,0.128,0.278,0.236,0.299,0.364,0.663,0.291,80,433.5,3.09,0.42,0.78
395,Trevor Larnach,MIN,50,192,167,38,8,1,7,23,23,21,62,2,1,0,10.90%,32.40%,0.175,0.313,0.227,0.317,0.402,0.719,0.313,99,741.3,4.23,2.93,1.22
396,Carter Kieboom,,63,247,220,50,9,1,6,26,25,22,61,4,1,0,9.00%,24.80%,0.132,0.286,0.228,0.307,0.36,0.668,0.295,83,743.5,3.89,0.79,1.08
397,Garrett Stubbs,PHI,34,118,104,23,4,1,2,13,11,11,28,1,2,0,9.20%,23.80%,0.114,0.277,0.218,0.297,0.332,0.63,0.281,73,747,1.42,1.54,1.64
398,C.J. Cron,BOS,67,276,249,61,12,0,12,34,39,22,68,4,0,0,7.80%,24.60%,0.195,0.288,0.246,0.313,0.442,0.755,0.324,99,561.6,6.76,0.55,0.86
399,Graham Pauley,SDP,42,164,150,37,8,0,5,19,19,12,36,1,3,1,7.20%,21.80%,0.154,0.291,0.245,0.306,0.399,0.705,0.306,92,999,6.05,-0.2,1.51
400,Jonathan Aranda,TBR,64,229,201,50,10,1,6,27,27,22,59,4,1,0,9.60%,25.80%,0.154,0.314,0.246,0.33,0.4,0.73,0.318,100,540.3,7.26,0.3,1.17
401,Victor Scott II,STL,31,128,117,28,5,1,1,15,11,8,24,2,9,1,6.10%,19.10%,0.09,0.295,0.243,0.297,0.333,0.63,0.278,73,999,6.94,1.5,1.89
402,AJ Pollock,,40,134,123,30,6,1,5,16,17,8,28,1,1,1,6.30%,20.80%,0.179,0.277,0.245,0.297,0.424,0.721,0.31,94,999,2.27,-0.37,1.58
403,Eric Haase,MIL,33,123,113,25,4,0,4,12,14,8,35,0,1,0,6.70%,28.90%,0.139,0.286,0.221,0.274,0.36,0.634,0.276,70,693,4.97,0.85,1.58
404,Wade Meckler,,27,86,77,21,4,0,1,11,8,8,21,1,1,0,9.60%,23.90%,0.088,0.365,0.272,0.351,0.361,0.712,0.318,100,748.2,0.91,0.93,1.92
405,Jorbit Vivas,NYY,11,43,38,9,2,0,1,5,4,3,6,1,1,0,7.70%,14.60%,0.124,0.268,0.242,0.319,0.366,0.685,0.304,90,999,2.17,-0.05,2
406,Ildemaro Vargas,WSN,59,218,202,50,10,1,3,22,21,12,23,1,2,1,5.70%,10.70%,0.103,0.266,0.247,0.292,0.35,0.642,0.281,73,750.8,2.14,-0.29,1.4
407,Blake Sabol,SFG,29,98,89,21,3,0,3,11,12,7,31,1,1,0,7.50%,31.50%,0.128,0.32,0.231,0.294,0.359,0.653,0.287,79,545.9,3.68,-0.13,1.7
408,Franmil Reyes,,26,93,84,19,3,0,4,10,12,7,30,1,0,0,7.60%,32.00%,0.181,0.294,0.227,0.288,0.408,0.696,0.299,85,999,2.3,0.78,1.71
409,Nick Maton,BAL,25,88,77,17,4,0,2,9,9,9,23,1,0,0,10.80%,26.20%,0.151,0.273,0.217,0.306,0.368,0.674,0.297,89,999,3.83,2,1.74
410,Stuart Fairchild,CIN,66,223,197,45,10,1,6,27,23,19,62,5,6,2,8.30%,27.80%,0.159,0.298,0.228,0.311,0.387,0.698,0.306,85,748.1,3.48,0.3,1.24
411,Juan Brito,,19,57,51,12,3,0,1,6,6,6,11,0,1,0,10.20%,19.00%,0.124,0.288,0.241,0.324,0.365,0.689,0.306,95,999,0.73,0.27,1.93
412,Wander Franco,TBR,6,24,22,6,1,0,1,3,3,2,3,0,1,0,8.10%,12.40%,0.192,0.297,0.286,0.347,0.478,0.825,0.353,124,744.8,3.36,2.07,2.1
413,Seby Zavala,SEA,44,151,135,26,5,0,4,14,14,11,55,2,1,0,7.50%,36.60%,0.131,0.288,0.194,0.263,0.325,0.588,0.26,65,999,1.64,0.44,1.39
414,Nick Loftin,KCR,33,130,118,30,6,0,2,14,13,9,22,1,2,1,6.70%,16.90%,0.115,0.287,0.251,0.307,0.366,0.673,0.295,84,649.9,3.08,1.88,1.7
415,Orelvis Martinez,,30,123,110,24,5,0,5,13,16,10,33,2,0,0,8.10%,27.10%,0.176,0.259,0.216,0.287,0.392,0.679,0.293,85,999,4.31,0.76,1.52
416,Travis Jankowski,TEX,54,180,156,39,7,1,1,22,14,21,32,1,9,2,11.70%,17.50%,0.066,0.305,0.247,0.34,0.314,0.654,0.297,85,733.2,2.24,4.12,1.74
417,Rafael Marchan,PHI,9,36,33,8,2,0,1,4,4,3,5,1,0,0,7.30%,14.50%,0.099,0.273,0.241,0.311,0.34,0.651,0.29,79,999,2,0.69,2.02
418,David Fry,CLE,36,108,98,23,6,0,3,11,12,8,26,2,1,0,7.10%,24.40%,0.159,0.287,0.234,0.299,0.393,0.692,0.301,92,741.3,1.41,-1.35,1.69
419,Joey Bart,SFG,25,89,81,18,3,0,3,9,9,6,28,1,0,0,7.10%,31.50%,0.14,0.295,0.217,0.285,0.357,0.642,0.283,76,733.8,2.79,1.03,1.73
420,Eguy Rosario,SDP,34,127,116,27,6,1,3,14,13,9,32,1,3,1,7.40%,25.00%,0.138,0.295,0.233,0.295,0.371,0.666,0.29,81,735.3,2.48,0.4,1.65
421,Mark Vientos,NYM,96,378,344,81,15,1,15,41,48,27,109,3,1,0,7.20%,28.90%,0.181,0.295,0.234,0.295,0.416,0.711,0.306,91,533.4,2.49,-0.67,0.55
