#,Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,BB%,K%,ISO,BABIP,AVG,OBP,SLG,OPS,wOBA,wRC+,ADP,InterSD,InterSK,IntraSD
550,Brett Phillips,,46,113,100,18,3,1,3,13,10,11,47,1,4,1,9.80%,41.70%,0.137,0.291,0.178,0.264,0.315,0.579,0.258,59,999,2.02,-1.61,1.6
551,George Valera,,15,58,51,11,2,0,1,6,6,6,17,0,0,0,10.90%,29.80%,0.132,0.294,0.214,0.306,0.345,0.652,0.291,85,999,1.38,1.46,1.87
552,Kenedy Corona,,8,31,29,6,1,0,1,4,3,2,9,0,1,0,7.00%,28.90%,0.146,0.287,0.219,0.277,0.366,0.643,0.28,76,748.9,2.22,0.68,2.01
553,Blaze Alexander,ARI,19,70,63,14,3,0,1,7,7,5,22,1,1,0,7.60%,31.70%,0.09,0.331,0.224,0.298,0.314,0.612,0.275,69,999,1.32,1.84,1.87
554,Otto Lopez,SFG,16,62,57,15,2,1,0,7,5,4,11,1,2,0,6.20%,18.20%,0.091,0.314,0.257,0.312,0.348,0.66,0.291,82,999,2.23,-0.37,1.98
555,Kevin Pillar,CHW,52,177,166,38,8,1,6,21,22,8,41,2,3,1,4.40%,22.90%,0.173,0.267,0.232,0.274,0.405,0.679,0.291,82,750.1,2.52,2.19,1.34
556,Greg Allen,,19,41,36,8,1,0,1,5,3,3,12,1,3,0,7.20%,29.80%,0.148,0.285,0.213,0.294,0.361,0.654,0.289,80,999,1.36,0.13,2.02
557,Jonatan Clase,SEA,16,46,42,9,2,0,1,6,4,4,15,0,3,0,8.60%,31.50%,0.128,0.296,0.21,0.284,0.338,0.622,0.276,77,999,0.78,1.37,1.99
558,Jacob Hurtubise,,7,27,24,6,1,0,0,4,2,3,5,1,1,0,10.40%,20.00%,0.061,0.319,0.249,0.347,0.31,0.656,0.301,82,747.2,0.96,0.85,2.08
559,Vinny Capra,MIL,11,30,27,6,1,0,0,4,3,3,7,0,0,0,9.60%,21.50%,0.064,0.311,0.24,0.318,0.305,0.622,0.282,74,999,2.48,0.69,2.03
560,Jacob Amaya,,10,39,35,8,2,0,1,5,4,3,8,0,1,0,8.90%,20.60%,0.115,0.278,0.229,0.301,0.345,0.645,0.286,77,999,2.81,1.05,2
561,Jake Marisnick,LAA,17,50,46,10,2,0,1,5,5,3,14,1,1,0,6.00%,29.00%,0.122,0.309,0.227,0.283,0.349,0.632,0.277,71,999,2.66,0.6,1.96
562,Hoy Park,OAK,6,24,21,4,1,0,0,2,2,3,6,0,0,0,10.80%,26.40%,0.072,0.297,0.215,0.303,0.287,0.59,0.268,72,999,1.3,-0.23,2.07
563,Jason Delay,PIT,29,98,90,20,4,0,1,10,8,6,25,1,0,0,6.30%,25.40%,0.079,0.301,0.225,0.281,0.304,0.585,0.261,59,749,2.11,-0.14,1.75
564,Nick Martini,CIN,26,91,80,19,3,0,3,11,11,8,21,2,0,0,9.40%,23.00%,0.161,0.288,0.242,0.323,0.402,0.726,0.317,93,999,2.79,0.48,1.75
565,Oliver Dunn,MIL,7,27,24,5,1,0,0,3,3,3,9,0,1,0,11.10%,32.70%,0.097,0.318,0.212,0.303,0.309,0.611,0.276,70,750.6,0.98,0.1,2.03
